mask_seed,observation_ratio,support_edge_count,observed_edge_count,fit_edge_count,validation_edge_count,missing_edge_count,observed_hash,fit_hash,validation_hash,missing_hash,nested_40_in_70
2027101,0.4,147,59,47,12,88,d173c4340e86d6d62a00c8f380d81361170b28aec0ae386cbc4de47e9cbb7eab,23006e70f1007c4ac12b3e66f7af0ab9e45b914a5e169d87f504e056471ab31f,3232401e74989f448ebcbb9f6b51d44eba256bbcb1b478e2c55f8b5d37fe7339,666218a49d8a53e259426df1f2f6a3fc3cae82e27b3928f38bf2df27fdce6e00,True
2027101,0.7,147,103,82,21,44,2c966d7d371f6c53330e9d3ecab6a4799ec374365f3f97e55f8d3235406a7fb4,aaca6c8452b74366f61e8b82288ac24087ebceafe88ab8cf7020a3799e42c0ac,e2197c0a377ef2f7f70b0326f2589fb02c0d2ea47659de9708401c3d00c11b80,46db58fbef8f58eb470404fbfa8996229ad111677d69b7e8e411c1e4db2d18af,True
2027102,0.4,147,59,47,12,88,a23f38b241c71b3f784e7d8cddad1c72c9f8618ae3518536154a3e2f3f7bd50f,bc6d199271d9179d7b3c08f4a2b4ef0cdc43681c95ea471fefd6dfbae3ac10ad,b6ab9fd3427ea08eda323a964a418529eed611e51253c5640a37d068540efbbe,04b67194daaf35ce51ee135a7034f8d8688739f917398d459461e5d2bae8e2a2,True
2027102,0.7,147,103,82,21,44,8029d54786cd02cce1c8828b705eac6a0f08b4bd29a23320cb3e685d39ed3fe5,6c7bd85b6aec2d96cdb6305287e951c14642e3ee5f3552bd7dbfbc716342ae8d,e265b3728b57b31b81ca35ce9b76513911aa555f4bd4d45d49b13708798b8e4e,998dd7aadb63a570d4469ddcb8d38a67a072e9082af339c8e9e75e64ce9c9c97,True
2027103,0.4,147,59,47,12,88,34ecddef7d57eca33540a3fbde1ce0fdcee5f16a88508d6b16d06e07f7144804,bcc3a2d29de51034a392a46a0fe2e76a9c9b08a16ba4fc4d9d3e7eb5c22302ac,6339ca91632180cf7f7ca97ef1af568bffc248eb85731bfa58f0cfa5b75c19c8,42ff6fa5e31406a928c330ea6265268a112cf95f842d9a2e1e82d815127c6693,True
2027103,0.7,147,103,82,21,44,6b9c5a0d3499196d82d2a9b2e9bca729e48b1c0f6ee3b869e986e0ace1f350de,3a8af3f4bec793d2da5a2204ff660e8e997dad91e7cfb170671a866d937ecd13,53bd6b8ae70640aa5a8c5c68f2f5452da7777203503d5e6f4186a83eb2c214c9,b743c3a95a02b5ee0d0befd3160dd5b0334a2f6f655ade89c65cca116e1c6883,True
2027104,0.4,147,59,47,12,88,eb5c152ee583ab6e6b41ef8c6f648b0bb98fcf467b22c5f1265823568b143b2c,7efcc57494c00f53834b8373834337722efd1c40f11667449189f141da27ca9a,3a6c84c5eb52880568a8365813cf9d7e76c8f5f4d42889c802929266ad30df07,4c483f28145a519e67e916323ad3f5eacc9749f7a5d5977f480802c5c49a8230,True
2027104,0.7,147,103,82,21,44,75a59cc0e78db7958670db3471f4931b12196b21c4e13b760abfbdf6593e78e4,483eedabebaf8529f68f7d1771a71af277317aea5d53d248466f8277d1ddb585,06eaa6d02352c434dfde2aa5ee0b58c0353410c66f4e56b7245508fe5d3262cc,da14cdf538d12e573cfac94adda8fe781eb7c8ce1ac9cb4767e8939f999bfc70,True
2027105,0.4,147,59,47,12,88,9d3f4c8efcd022319400772e08c64b11e0320c25875452cafe6840333a5a5257,94affa76459274dadf03fc2d88e56250941f588feb397b574786def039aecb8d,7156e7aa1127476c4aaae7670577b92f2945044c0b1963f0c39b7a2df05ebaab,1f47507ec6fc9b5fcc840e7e9b840232ee660feda30f6d46bcf6531ab01d730f,True
2027105,0.7,147,103,82,21,44,b72ce3fe2995caf4e413fd2dd215826ccdf26c0851997e729cb2567a18825b0d,a89eca8aafce095b878c06ddf4921f69c1f0304b7e5c63740e73c04974462538,962753d6b415ff42a5f523ac9ffb05991345a3f54dfd4bb5163823630da4568d,d586d4ba3626439458fcef8d2d470a19f211312f6f0cd9536e90972769b8537a,True
