mask_seed,observation_ratio,fit_validation_overlap,fit_missing_overlap,validation_missing_overlap,partition_support_exact,missing_used_for_training,missing_used_for_early_stopping
2027106,0.4,0,0,0,True,False,False
2027106,0.7,0,0,0,True,False,False
2027107,0.4,0,0,0,True,False,False
2027107,0.7,0,0,0,True,False,False
2027108,0.4,0,0,0,True,False,False
2027108,0.7,0,0,0,True,False,False
2027109,0.4,0,0,0,True,False,False
2027109,0.7,0,0,0,True,False,False
2027110,0.4,0,0,0,True,False,False
2027110,0.7,0,0,0,True,False,False
2027111,0.4,0,0,0,True,False,False
2027111,0.7,0,0,0,True,False,False
2027112,0.4,0,0,0,True,False,False
2027112,0.7,0,0,0,True,False,False
2027113,0.4,0,0,0,True,False,False
2027113,0.7,0,0,0,True,False,False
2027114,0.4,0,0,0,True,False,False
2027114,0.7,0,0,0,True,False,False
2027115,0.4,0,0,0,True,False,False
2027115,0.7,0,0,0,True,False,False
