mask_seed,observation_ratio,support_edge_count,observed_edge_count,fit_edge_count,validation_edge_count,missing_edge_count,observed_hash,fit_hash,validation_hash,missing_hash,nested_40_in_70
2027106,0.4,147,59,47,12,88,0faecb5d6985780a783189096f905dbf45f3f9a4455ae254c64c053ff9f22416,0d21901d8e1a2a8a4e656aa0c5fa78ca738b146dc0229b4f74bd9faf00527fa0,82ad8203349b86ae4b521190547f499300f1f63fc3a8195793c8bb1fde00b5e1,419f832b83dea02d870853eee69d336a08565a455665d62d2b641c753ff33817,True
2027106,0.7,147,103,82,21,44,7c05b1b358ae57b6682f7f3f68930e1fe300ef9d2099bafbdf6b9a647ccbf184,ab222228b0fbe1e02c37854382309666bc3a0c318f31e92e02465212fb7ae424,7b0511554b4d7745d97505d16d74c3fdc4a4cc8fe410739eee3c6bcd3be72aa7,def8bc31bd6005045815df06e55eb114abb7394989c1d14d08cc8aa8fcae9021,True
2027107,0.4,147,59,47,12,88,39efc740457d4e69937682d2be519df66b5ad761829aa476015e0dffb9197385,748e7671e4168ddd487bf6ff98bbf3b182f93cd510a06f01c0c7ea089e403b46,d0ca87732c7cff2ed75ebcbdf2132f82bc5de9e8ee5c0f71aa71113cd75ae1e6,7d84638d99a34a03f1f19d2db29a54f0d553afa983812395b44a9f0736d539a6,True
2027107,0.7,147,103,82,21,44,5a523e4d2953a8e923c0842bcffc1a583e6831acd55c02b67b89304bda741f59,f1c1a662dd03489e9e4f897487ece8fa29b32b11de869a19763d6d3086f50401,2c8b3e8536e247539909abb69ed8a9fd56b880501fe8730a701a167bb29ca01b,6b88b3633da098c4b8c986f1dfbe27d59c50c286be73917a3cff652a7827f659,True
2027108,0.4,147,59,47,12,88,cecf5b799d5bfc842a83a84e917f940c859ed3f09da6e0c4a37960ea907afccf,1e72a96ed4a2a3fe6bc50b0206b0a2a1a633332ef01a31f6915f2177ba1df5f9,a5030f409fef6176f62143073e610ba4cd5c7f9ecfca4eb5949ad74fcf5d3ccd,648b88e188ec3bbda48bc34168dc652e0d42f1f50dd738942503fc0b645bba42,True
2027108,0.7,147,103,82,21,44,b89a14e175c0ce127c1801afd2c90a4d7d62a9a37a90baadea5d12f0ade95183,bb6e3c378d4b2bd8ab99263cf30a939e62663a366f94785c40a94c53d78ed55f,f7856f3eb091babe123a664c8a28fda451163cd6180b23ef295c8ef9a325865c,fe59a777658427e6f7c504f9815089a5a3e7d2525b65ae622620b00166f771de,True
2027109,0.4,147,59,47,12,88,6f769add66904dfdb0f5f82e5183e0da6f1aab8b479de7c2b48f092fad95e6d9,799b0df7af281235ba8bd84f08588f92475371c9f5097a0e055bec64a4f60e63,5b76b9597bb941a4402ba0cb12a38932e416b66dbe2212ea5edab075fb1bbcc5,a8863205389f1eb173af9b92fb226eecc165b7188bbbfb864069f6c8d8cb476f,True
2027109,0.7,147,103,82,21,44,af8d8f4dd42a252632a490376fc6a221c56465a5af3edeae0989cf84a0cbf503,6046f6d7710243c7a716c7eed142acc5e16c137bb4bfd5f9a7253ed7e9b9f910,a94d5a7307c7b53b66681099e6f08f56f7cb9e200eb957d21f7ddf5e1afcf234,df8953df0d0cbb65235d7240abcffe655f2e69ba54321cdc9c888f3d57ed8561,True
2027110,0.4,147,59,47,12,88,9a73420aa0d4696ef79e397c7b013eb0188ec49fa681105524f60ece115b7db7,d331b7769215667d0f010a8eaa135a3e38b59ea9377d344cc1b3236fc59b9356,4837c9e28af809651c6dee73822f8871a2f6175736fb4bf3d72cc92b4648ab07,9d382c229675f52c954887a41197e9511f8d23920ea2ce37928ef1c2ab296186,True
2027110,0.7,147,103,82,21,44,f1ca34a16d95b88ee25f5868d7588deb1096e36791f10acc91c83632f4a29205,b1f6dd8b3672185660fd62ded9eda9fd7eec9e8b58e3242eadff5441a81e4ba2,f81f054bedf2844ee7859223be0e89ac9a85d6334246e67363d6e4c86f25dc38,9aaa51158349be66796102acfc192c9d2f701663f8628ba538edde95187ab13e,True
2027111,0.4,147,59,47,12,88,26c3a2d03342b06c71cf444b7e3ed76c8ee4ca4cf99a6b46d67747c2172d12c1,2a13e0ce1af87e5147b38f0df64cdffa6f5b248e1f98c0edc698aaac2aaa1083,7aa0ace1b5695725ada7d16ede803584c0e532c1b8948de212b9140a38e98cca,299d05f296815e6cffb3c990ddee46b198022b1725214119ac17c4b15a4fa5eb,True
