best_epoch,epochs_run,validation_candidate_mae,fit_candidate_count,fit_positive_message_count,validation_candidate_count,validation_positive_count,hidden_labels_exposed_to_gat,phase,graph_id,mask_rep,mask_seed,observation_ratio,candidate_count,observed_candidate_count,missing_candidate_count,missing_positive_count,runtime_seconds
83,113,0.17978596687316895,122,33,30,11,False,development,0,0,310000,0.4,380,152,228,69,1.7924964427947998
68,98,0.09016500413417816,213,56,53,17,False,development,0,0,310000,0.7,380,266,114,40,0.6044061183929443
24,54,0.0751132220029831,122,35,30,3,False,development,0,1,310001,0.4,380,152,228,75,0.2575113773345947
55,85,0.08642778545618057,213,62,53,13,False,development,0,1,310001,0.7,380,266,114,38,0.44962048530578613
100,130,0.11583952605724335,122,17,30,7,False,development,3,0,310300,0.4,380,152,228,53,0.6698579788208008
65,95,0.09668251127004623,213,39,53,11,False,development,3,0,310300,0.7,380,266,114,27,0.6721601486206055
24,54,0.08156189322471619,122,26,30,7,False,development,3,1,310301,0.4,380,152,228,44,0.2390458583831787
50,80,0.07929840683937073,213,39,53,11,False,development,3,1,310301,0.7,380,266,114,27,0.5091805458068848
150,180,0.04312334582209587,122,14,30,5,False,development,6,0,310600,0.4,380,152,228,44,0.9933433532714844
18,48,0.11871582269668579,213,27,53,13,False,development,6,0,310600,0.7,380,266,114,23,0.30571675300598145
82,112,0.05544154345989227,122,17,30,5,False,development,6,1,310601,0.4,380,152,228,41,0.5596194267272949
72,102,0.09993164241313934,213,31,53,9,False,development,6,1,310601,0.7,380,266,114,23,0.5722455978393555
82,112,0.0739564374089241,122,16,30,5,False,development,9,0,310900,0.4,380,152,228,32,0.5987789630889893
19,49,0.047426484525203705,213,29,53,8,False,development,9,0,310900,0.7,380,266,114,16,0.3064098358154297
59,89,0.07150980085134506,122,19,30,5,False,development,9,1,310901,0.4,380,152,228,29,0.4019041061401367
21,51,0.04145574942231178,213,33,53,6,False,development,9,1,310901,0.7,380,266,114,14,0.29993271827697754
