lambda,heldout_development_graph,mean_E_w_over_4_scenarios
0.01,0,0.3165274962909475
0.01,3,0.3737308565744879
0.01,6,0.3752290566406526
0.01,9,0.3692476699340258
0.01,ALL_MEAN,0.3586837698600285
0.1,0,0.31608705155360795
0.1,3,0.3737130654574176
0.1,6,0.37515892796920197
0.1,9,0.3692307304356922
0.1,ALL_MEAN,0.35854744385397996
1.0,0,0.3121461187673173
1.0,3,0.3735529256482796
1.0,6,0.37449188172806475
1.0,9,0.36907134980810485
1.0,ALL_MEAN,0.3573155689879416
10.0,0,0.29456226820804
10.0,3,0.37311377503557275
10.0,6,0.3700507410651245
10.0,9,0.36840088730513304
10.0,ALL_MEAN,0.35153191790346755
100.0,0,0.28070811874375046
100.0,3,0.38462012037356347
100.0,6,0.36328230504334696
100.0,9,0.37213255270020446
100.0,ALL_MEAN,0.3501857742152163
1000.0,0,0.2772876205062993
1000.0,3,0.43053488491022174
1000.0,6,0.38606589709043826
1000.0,9,0.39253928579261527
1000.0,ALL_MEAN,0.37160692207489365
10000.0,0,0.28104898692782126
10000.0,3,0.45607014720420824
10000.0,6,0.40267555191578097
10000.0,9,0.40704631425156423
10000.0,ALL_MEAN,0.3867102500748437
