graph_id,split,sensor_count,candidate_count,positive_truth_edge_count,sensor_ids
0,development,20,380,113,717804 717450 717452 717458 717459 717461 717460 765164 716339 717456 717453 716337 773062 764853 765182 773024 773023 716939 716941 716942
1,test,20,380,89,716943 716331 716328 717445 717447 717446 718045 772513 771667 760650 771673 772669 716949 716951 773013 773012 717472 717473 769373 769372
2,test,20,380,97,717481 717480 717462 717463 717466 717465 717468 717469 769403 769402 769388 717483 769405 769418 764949 717486 716960 759602 718089 718371
3,development,20,380,77,716955 716953 767495 767494 716956 767750 767751 716958 759591 767509 718064 767523 767541 767542 767554 718066 767573 767572 717510 717508
4,test,20,380,106,717513 772597 772596 772178 772151 717504 772167 772168 765099 772140 717502 717816 760024 769431 769430 764781 764794 765171 767053 717818
5,test,20,380,78,717488 768469 717489 769467 717493 717490 717491 768066 718141 717492 764858 773939 717499 769444 769443 717498 769359 769358 717495 717497
6,development,20,380,63,769345 769346 764101 765604 717608 764106 767350 765265 717819 767351 765273 717821 737529 717823 767366 717825 717610 764424 763995 716571
7,test,20,380,60,764120 764760 764766 765176 717570 717571 773880 718496 774204 760987 717572 717573 718379 761599 718090 773916 761604 774067 773927 773869
8,test,20,380,55,718499 761003 773904 773906 718204 717576 773953 773954 759772 716968 767621 767620 762329 767454 717587 717590 767455 717595 717592 773974
9,development,20,380,53,773975 773995 773996 718072 774011 774012 717578 716554 717580 717582 717583 717099 717585 767471 767470 718076 767585 767610 767609 769806
