section,scope,statistic,count_including_zero_bounds,median_including_zero_bounds,q1_including_zero_bounds,q3_including_zero_bounds,min_including_zero_bounds,max_including_zero_bounds,count_excluding_zero_bounds,median_excluding_zero_bounds,q1_excluding_zero_bounds,q3_excluding_zero_bounds,min_excluding_zero_bounds,max_excluding_zero_bounds,zero_bound_exact_count,value
ratio_distribution,Overall,ratio_w,80,0.4845811176808654,0.45596058766289027,0.502575519844086,0.2960236401402922,0.5822580970627674,80,0.4845811176808654,0.45596058766289027,0.502575519844086,0.2960236401402922,0.5822580970627674,0,
ratio_distribution,Overall,ratio_x,80,0.159723663877434,0.12052714239902995,0.2356906690777879,0.03525236764162817,0.3847256838010123,80,0.159723663877434,0.12052714239902995,0.2356906690777879,0.03525236764162817,0.3847256838010123,0,
ratio_distribution,Raw-GAT,ratio_w,20,0.4818021811655223,0.44261710334247856,0.5000127663964616,0.2960236401402922,0.5203665752507799,20,0.4818021811655223,0.44261710334247856,0.5000127663964616,0.2960236401402922,0.5203665752507799,0,
ratio_distribution,Raw-GAT,ratio_x,20,0.14541506943347196,0.11692857207051469,0.2536545932119044,0.04108306816829842,0.32336647603408203,20,0.14541506943347196,0.11692857207051469,0.2536545932119044,0.04108306816829842,0.32336647603408203,0,
ratio_distribution,GlobalMean,ratio_w,20,0.4931321457599823,0.4579111149680877,0.5005658871886878,0.30978274595158345,0.5155555320610907,20,0.4931321457599823,0.4579111149680877,0.5005658871886878,0.30978274595158345,0.5155555320610907,0,
ratio_distribution,GlobalMean,ratio_x,20,0.17297273120775591,0.12589220427454653,0.23211742008865732,0.050910878364347226,0.27910891792105863,20,0.17297273120775591,0.12589220427454653,0.23211742008865732,0.050910878364347226,0.27910891792105863,0,
ratio_distribution,NodeMean,ratio_w,20,0.47665146641848877,0.46500346262967535,0.5080064754348852,0.4087734311681408,0.5822580970627674,20,0.47665146641848877,0.46500346262967535,0.5080064754348852,0.4087734311681408,0.5822580970627674,0,
ratio_distribution,NodeMean,ratio_x,20,0.16089497918785123,0.12087199616750022,0.2184598611648002,0.03525236764162817,0.3847256838010123,20,0.16089497918785123,0.12087199616750022,0.2184598611648002,0.03525236764162817,0.3847256838010123,0,
ratio_distribution,GAT+Refinement,ratio_w,20,0.48434143636534865,0.4668575940735723,0.5014830309435332,0.373080099939283,0.5158931610216878,20,0.48434143636534865,0.4668575940735723,0.5014830309435332,0.373080099939283,0.5158931610216878,0,
ratio_distribution,GAT+Refinement,ratio_x,20,0.14729927648468913,0.12745665377429538,0.21609705587907121,0.0369921613167311,0.3731748903037724,20,0.14729927648468913,0.12745665377429538,0.21609705587907121,0.0369921613167311,0.3731748903037724,0,
correlation,Overall,"Spearman(E_c,E_w)",,,,,,,,,,,,,,0.9346460384435069
correlation,Overall,"Spearman(E_c,E_x)",,,,,,,,,,,,,,0.46300984528832634
correlation,Overall,"Spearman(B_w,E_w)",,,,,,,,,,,,,,0.9604547585560245
correlation,Overall,"Spearman(B_x,E_x)",,,,,,,,,,,,,,0.6713080168776372
integrity_check,Overall,sample_count,,,,,,,,,,,,,,80
integrity_check,Overall,graph_count,,,,,,,,,,,,,,20
integrity_check,Overall,method_count,,,,,,,,,,,,,,4
integrity_check,Overall,max(E_w-B_w),,,,,,,,,,,,,,-0.03278919309387275
integrity_check,Overall,max(E_x-B_x),,,,,,,,,,,,,,-0.0038820334740054053
integrity_check,Overall,weight_bound_satisfied_count,,,,,,,,,,,,,,80
integrity_check,Overall,signal_bound_satisfied_count,,,,,,,,,,,,,,80
integrity_check,Overall,weight_bound_satisfied_fraction,,,,,,,,,,,,,,1.0
integrity_check,Overall,signal_bound_satisfied_fraction,,,,,,,,,,,,,,1.0
integrity_check,Overall,table_i_max_abs_difference,,,,,,,,,,,,,,1.3877787807814457e-17
integrity_check,Overall,saved_graph_metrics_max_abs_difference,,,,,,,,,,,,,,1.3877787807814457e-16
integrity_check,Overall,raw_gat_and_refinement_predictions_identical,,,,,,,,,,,,,,True
integrity_check,Overall,raw_gat_and_refinement_missing_edge_mae_identical,,,,,,,,,,,,,,True
integrity_check,Overall,model_retrained,,,,,,,,,,,,,,False
integrity_check,Overall,frozen_parameters_changed,,,,,,,,,,,,,,False
