observation_ratio,observation_ratio_percent,Comparison,Metric,graph_count,Candidate mean,Reference mean,Mean difference,95% CI lower,95% CI upper,Relative change percent,Interval entirely below zero,Bootstrap repetitions
0.4,40,ASGC - Raw-GAT,E_c,20,4.316306079507247,5.114052433779541,-0.7977463542722951,-1.3311007395843877,-0.2687665408451864,-15.599103931805418,True,3000
0.4,40,ASGC - Raw-GAT,E_w,20,0.088573609652449,0.104992977528895,-0.01641936787644601,-0.02356777687363004,-0.009487587143608929,-15.638539131750267,True,3000
0.4,40,ASGC - Raw-GAT,E_x,20,0.005402812675287684,0.006133212484276894,-0.0007303998089892092,-0.001886623586184417,0.00021558934274514634,-11.908927187206746,False,3000
0.4,40,NodeMean - Raw-GAT,missing_edge_MAE,20,0.1544401950492535,0.1599300090851044,-0.005489814035850928,-0.012780901897014956,0.0019970414882827725,-3.432635355463279,False,3000
0.4,40,NodeMean - Raw-GAT,E_w,20,0.10890858960148167,0.104992977528895,0.003915612072586665,-0.008709261981142458,0.016727418430291786,3.729403779894759,False,3000
0.4,40,NodeMean - Raw-GAT,E_x,20,0.006854894574156331,0.006133212484276894,0.0007216820898794368,-0.0016329243030481166,0.0027579654177065766,11.766787661923361,False,3000
0.55,55,ASGC - Raw-GAT,E_c,20,3.44416526341737,4.301516224550967,-0.8573509611335958,-1.2444110765983483,-0.48874172690908946,-19.931366438658365,True,3000
0.55,55,ASGC - Raw-GAT,E_w,20,0.07184273954636836,0.09021005911691857,-0.018367319570550208,-0.025328351422991932,-0.011874874066926363,-20.360611388963697,True,3000
0.55,55,ASGC - Raw-GAT,E_x,20,0.004502183168824029,0.005138879037104463,-0.0006366958682804331,-0.00164730985082342,0.0002917400066500352,-12.38978118930746,False,3000
0.55,55,NodeMean - Raw-GAT,missing_edge_MAE,20,0.14823894849493338,0.16261363832019046,-0.014374689825257062,-0.024043040346767686,-0.004407900321825697,-8.839781197781779,True,3000
0.55,55,NodeMean - Raw-GAT,E_w,20,0.07765286585894443,0.09021005911691857,-0.012557193257974136,-0.023640910044876826,-0.0008965735268586797,-13.919947931415422,True,3000
0.55,55,NodeMean - Raw-GAT,E_x,20,0.004862745465303449,0.005138879037104463,-0.00027613357180101265,-0.0023177839882411923,0.0015907432843619662,-5.373420347263166,False,3000
0.7,70,ASGC - Raw-GAT,E_c,20,2.585387403958613,2.9839905782325475,-0.3986031742739339,-0.5629022938812351,-0.2405260465823059,-13.358057400772063,True,3000
0.7,70,ASGC - Raw-GAT,E_w,20,0.055978873191102355,0.06417080939509631,-0.00819193620399394,-0.011853839221427274,-0.0044121753241573225,-12.765829636893962,True,3000
0.7,70,ASGC - Raw-GAT,E_x,20,0.0030018462385077386,0.003819380225148327,-0.0008175339866405886,-0.0013468062810249157,-0.0003534902433503706,-21.40488609271258,True,3000
0.7,70,NodeMean - Raw-GAT,missing_edge_MAE,20,0.14808141156489307,0.15880170271349753,-0.01072029114860447,-0.018863268089826274,-0.002134453675916287,-6.75074068188394,True,3000
0.7,70,NodeMean - Raw-GAT,E_w,20,0.05973958249179266,0.06417080939509631,-0.0044312269033036315,-0.010565922464751798,0.002306482438272556,-6.905362336979108,False,3000
0.7,70,NodeMean - Raw-GAT,E_x,20,0.002844333589810662,0.003819380225148327,-0.0009750466353376652,-0.002070509472343521,-0.00011237529622844559,-25.528922962881992,True,3000
