base_graph_id,assessment_seed,graph_truth_seed,observation_source_seed,nested_mask_seed
G01,4005970634,4201442169,4278256292,4293852271
G02,3383342538,1505970915,2636377458,1595373088
G03,82804752,1222194991,916831795,437020220
G04,2767364449,3987982161,2501683014,564444179
G05,3195635898,536706904,2372668985,1149514549
G06,3951030893,2643396670,3764851735,2183798520
G07,1255334416,655564160,2674609355,4157134205
G08,2876856673,3833455715,1976651871,3446239200
G09,1831245280,4130100513,2170140004,94166531
G10,2519657375,1826298309,3612152874,2740965933
G11,1309321239,79309134,467790165,1852958246
G12,2443019303,2074393871,3477052972,562412761
G13,211773599,111395426,2863623270,3343681355
G14,4033402369,1818803211,3548595112,902373377
G15,958489045,3183351041,2159454073,1812914526
G16,4044325550,4224466206,3266484513,1993483768
G17,257233503,3747660443,944501704,2132350691
G18,4251291385,3574591050,2465333479,1237890065
G19,419595216,1840605373,1176856213,1326997770
G20,2247873290,2835841799,4238615900,2397024055
