scenario_id,scenario_index,observation_ratio,observed_edge_count,structurally_missing_edge_count,Method,missing_edge_MAE,E_c,E_w,E_x,scenario_global_observed_edge_mean,node_mean_global_fallback_count,node_mean_values
C001_R005,0,0.4,36,54,Raw-GAT,0.14188728504614653,4.193616301645143,0.09840179812904429,0.0029307059078029795,0.44920648556649617,0,"[0.36777855104985285,0.6147403428665077,0.4005601807883196,0.40343051030565996,0.6862964107714844,0.40827728170369665,0.37178349426735824,0.4049511450590256,0.4745814206187434,0.4891382874318176]"
C001_R005,0,0.4,36,54,GlobalMean,0.1506935086806766,4.65626665098325,0.10889184707619859,0.002750753443764256,0.44920648556649617,0,"[0.36777855104985285,0.6147403428665077,0.4005601807883196,0.40343051030565996,0.6862964107714844,0.40827728170369665,0.37178349426735824,0.4049511450590256,0.4745814206187434,0.4891382874318176]"
C001_R005,0,0.4,36,54,NodeMean,0.1414233370055018,3.971784970085095,0.09534493835238117,0.002146009962827334,0.44920648556649617,0,"[0.36777855104985285,0.6147403428665077,0.4005601807883196,0.40343051030565996,0.6862964107714844,0.40827728170369665,0.37178349426735824,0.4049511450590256,0.4745814206187434,0.4891382874318176]"
C001_R005,0,0.4,36,54,ASGC,0.14188728504614653,2.763244855061131,0.0663515892430448,0.0015403171358412528,0.44920648556649617,0,"[0.36777855104985285,0.6147403428665077,0.4005601807883196,0.40343051030565996,0.6862964107714844,0.40827728170369665,0.37178349426735824,0.4049511450590256,0.4745814206187434,0.4891382874318176]"
C002_R004,1,0.4,36,54,Raw-GAT,0.12575159424651192,3.7927057531969957,0.07137281996215164,0.009052948259169491,0.5609672163071839,0,"[0.38211567797058943,0.6424350973917248,0.713582826134906,0.8042533503026768,0.48666428212326923,0.5950085642153322,0.39181059664231843,0.619268988265415,0.47926205308756514,0.4846053927596048]"
C002_R004,1,0.4,36,54,GlobalMean,0.13541013451700248,3.7255423295921175,0.06926897102111217,0.005804971423544814,0.5609672163071839,0,"[0.38211567797058943,0.6424350973917248,0.713582826134906,0.8042533503026768,0.48666428212326923,0.5950085642153322,0.39181059664231843,0.619268988265415,0.47926205308756514,0.4846053927596048]"
C002_R004,1,0.4,36,54,NodeMean,0.16214465494447647,6.996390889299168,0.1254162294445978,0.00423269949090635,0.5609672163071839,0,"[0.38211567797058943,0.6424350973917248,0.713582826134906,0.8042533503026768,0.48666428212326923,0.5950085642153322,0.39181059664231843,0.619268988265415,0.47926205308756514,0.4846053927596048]"
C002_R004,1,0.4,36,54,ASGC,0.12575159424651192,3.872965136591376,0.07999497869169249,0.004855798204238711,0.5609672163071839,0,"[0.38211567797058943,0.6424350973917248,0.713582826134906,0.8042533503026768,0.48666428212326923,0.5950085642153322,0.39181059664231843,0.619268988265415,0.47926205308756514,0.4846053927596048]"
C003_R003,2,0.4,36,54,Raw-GAT,0.15872501913992756,5.650019951746647,0.11169443680562083,0.003102618249249685,0.5978973882960623,0,"[0.6505471491719724,0.7801794859812892,0.5093409613717037,0.6530730609184887,0.7035563337259257,0.6467977968320372,0.7010890523812077,0.46558783172488666,0.3627129611295561,0.4657499993550528]"
C003_R003,2,0.4,36,54,GlobalMean,0.13266184709061452,5.677691764975694,0.10629188832446797,0.005439781874503013,0.5978973882960623,0,"[0.6505471491719724,0.7801794859812892,0.5093409613717037,0.6530730609184887,0.7035563337259257,0.6467977968320372,0.7010890523812077,0.46558783172488666,0.3627129611295561,0.4657499993550528]"
C003_R003,2,0.4,36,54,NodeMean,0.12010344971198167,5.279770509748648,0.08060960361520689,0.002415690778439348,0.5978973882960623,0,"[0.6505471491719724,0.7801794859812892,0.5093409613717037,0.6530730609184887,0.7035563337259257,0.6467977968320372,0.7010890523812077,0.46558783172488666,0.3627129611295561,0.4657499993550528]"
C003_R003,2,0.4,36,54,ASGC,0.15872501913992756,3.8368502746752826,0.07472144787012623,0.0025182870555741483,0.5978973882960623,0,"[0.6505471491719724,0.7801794859812892,0.5093409613717037,0.6530730609184887,0.7035563337259257,0.6467977968320372,0.7010890523812077,0.46558783172488666,0.3627129611295561,0.4657499993550528]"
C004_R004,3,0.4,36,54,Raw-GAT,0.17291567675850025,5.277172552478855,0.10827829831929962,0.005449234808309923,0.4368777043495013,0,"[0.35904617495508656,0.4532784473537567,0.5295870002623203,0.6317276796266469,0.4483285185114645,0.2589332753019816,0.4550478669291774,0.435658249941457,0.4905461416212799,0.38711492472661213]"
C004_R004,3,0.4,36,54,GlobalMean,0.17232227542838066,5.662829617348243,0.10255773946869381,0.0058621274861639485,0.4368777043495013,0,"[0.35904617495508656,0.4532784473537567,0.5295870002623203,0.6317276796266469,0.4483285185114645,0.2589332753019816,0.4550478669291774,0.435658249941457,0.4905461416212799,0.38711492472661213]"
C004_R004,3,0.4,36,54,NodeMean,0.17003210964831275,5.069546912235751,0.11066843885176034,0.008556931583545799,0.4368777043495013,0,"[0.35904617495508656,0.4532784473537567,0.5295870002623203,0.6317276796266469,0.4483285185114645,0.2589332753019816,0.4550478669291774,0.435658249941457,0.4905461416212799,0.38711492472661213]"
C004_R004,3,0.4,36,54,ASGC,0.17291567675850025,4.3795423712947805,0.09743916438874296,0.006319135089309774,0.4368777043495013,0,"[0.35904617495508656,0.4532784473537567,0.5295870002623203,0.6317276796266469,0.4483285185114645,0.2589332753019816,0.4550478669291774,0.435658249941457,0.4905461416212799,0.38711492472661213]"
C005_R004,4,0.4,36,54,Raw-GAT,0.18069456004229337,6.213574384625943,0.0817574857773398,0.00707002871023986,0.45533337582815414,0,"[0.6461413437148428,0.34617925510079256,0.6067648355974402,0.3485382855761385,0.6925351328883712,0.37432230046812776,0.23580036169498164,0.5730738902039236,0.31254911728857665,0.5810650765453613]"
C005_R004,4,0.4,36,54,GlobalMean,0.16976174888219642,5.513578560851095,0.07591899023404247,0.0048808942999776376,0.45533337582815414,0,"[0.6461413437148428,0.34617925510079256,0.6067648355974402,0.3485382855761385,0.6925351328883712,0.37432230046812776,0.23580036169498164,0.5730738902039236,0.31254911728857665,0.5810650765453613]"
C005_R004,4,0.4,36,54,NodeMean,0.14871921711487254,5.342337196643562,0.1382631553721112,0.01026044393223924,0.45533337582815414,0,"[0.6461413437148428,0.34617925510079256,0.6067648355974402,0.3485382855761385,0.6925351328883712,0.37432230046812776,0.23580036169498164,0.5730738902039236,0.31254911728857665,0.5810650765453613]"
C005_R004,4,0.4,36,54,ASGC,0.18069456004229337,3.715763116730254,0.06443996897820642,0.006705340189535902,0.45533337582815414,0,"[0.6461413437148428,0.34617925510079256,0.6067648355974402,0.3485382855761385,0.6925351328883712,0.37432230046812776,0.23580036169498164,0.5730738902039236,0.31254911728857665,0.5810650765453613]"
C006_R003,5,0.7,63,27,Raw-GAT,0.17505946307121278,4.01102131162992,0.07088030657094634,0.001639011838459235,0.4529815616453195,0,"[0.6416916584627078,0.4203366929669891,0.46293088938431876,0.6078473842513302,0.2509785271975061,0.40124120488222925,0.4423100633881594,0.5098079788846837,0.4593026200739681,0.4083934945856268]"
C006_R003,5,0.7,63,27,GlobalMean,0.17925101721881193,4.139875313030426,0.07353583439349251,0.001695722809456279,0.4529815616453195,0,"[0.6416916584627078,0.4203366929669891,0.46293088938431876,0.6078473842513302,0.2509785271975061,0.40124120488222925,0.4423100633881594,0.5098079788846837,0.4593026200739681,0.4083934945856268]"
C006_R003,5,0.7,63,27,NodeMean,0.1503849806886972,3.4748233553640557,0.07426790881374466,0.0017657571777827442,0.4529815616453195,0,"[0.6416916584627078,0.4203366929669891,0.46293088938431876,0.6078473842513302,0.2509785271975061,0.40124120488222925,0.4423100633881594,0.5098079788846837,0.4593026200739681,0.4083934945856268]"
C006_R003,5,0.7,63,27,ASGC,0.17505946307121278,3.580298729192699,0.06040473078585473,0.0014767395117960536,0.4529815616453195,0,"[0.6416916584627078,0.4203366929669891,0.46293088938431876,0.6078473842513302,0.2509785271975061,0.40124120488222925,0.4423100633881594,0.5098079788846837,0.4593026200739681,0.4083934945856268]"
C007_R001,6,0.7,63,27,Raw-GAT,0.12940882390928127,1.2441034396506208,0.03150180143427919,0.001391349061081638,0.43007847712652597,0,"[0.679320535588595,0.3844919523011845,0.5374971438358239,0.5171129450804881,0.43167557321487465,0.34498948325402357,0.2868774148888414,0.4588783538154506,0.30348643977246414,0.4687611658394691]"
C007_R001,6,0.7,63,27,GlobalMean,0.13613886302918493,1.3227429501581747,0.030135925969377392,0.0012972384022560152,0.43007847712652597,0,"[0.679320535588595,0.3844919523011845,0.5374971438358239,0.5171129450804881,0.43167557321487465,0.34498948325402357,0.2868774148888414,0.4588783538154506,0.30348643977246414,0.4687611658394691]"
C007_R001,6,0.7,63,27,NodeMean,0.16701203404805898,2.0878002447872896,0.05040731015768178,0.008284862215297756,0.43007847712652597,0,"[0.679320535588595,0.3844919523011845,0.5374971438358239,0.5171129450804881,0.43167557321487465,0.34498948325402357,0.2868774148888414,0.4588783538154506,0.30348643977246414,0.4687611658394691]"
C007_R001,6,0.7,63,27,ASGC,0.12940882390928127,1.7726603567885988,0.03841289799947813,0.004780789855072632,0.43007847712652597,0,"[0.679320535588595,0.3844919523011845,0.5374971438358239,0.5171129450804881,0.43167557321487465,0.34498948325402357,0.2868774148888414,0.4588783538154506,0.30348643977246414,0.4687611658394691]"
C008_R002,7,0.7,63,27,Raw-GAT,0.12887998445210852,1.6861190050137451,0.03258513939694038,0.005737182460822714,0.5259364028868412,0,"[0.4623536794603484,0.43259016982589577,0.5176161008434769,0.6109297474791793,0.5123050428184432,0.5617937199518924,0.507138189481186,0.6060720907960098,0.5043720092663939,0.5618579789729036]"
C008_R002,7,0.7,63,27,GlobalMean,0.13324690867280495,1.7467359353665057,0.03374553160301237,0.005452909626930637,0.5259364028868412,0,"[0.4623536794603484,0.43259016982589577,0.5176161008434769,0.6109297474791793,0.5123050428184432,0.5617937199518924,0.507138189481186,0.6060720907960098,0.5043720092663939,0.5618579789729036]"
C008_R002,7,0.7,63,27,NodeMean,0.12946817221471538,1.4316886414236016,0.02589158993203916,0.005959869467143626,0.5259364028868412,0,"[0.4623536794603484,0.43259016982589577,0.5176161008434769,0.6109297474791793,0.5123050428184432,0.5617937199518924,0.507138189481186,0.6060720907960098,0.5043720092663939,0.5618579789729036]"
C008_R002,7,0.7,63,27,ASGC,0.12887998445210852,1.3940868214761872,0.025471984639538925,0.006124323635704833,0.5259364028868412,0,"[0.4623536794603484,0.43259016982589577,0.5176161008434769,0.6109297474791793,0.5123050428184432,0.5617937199518924,0.507138189481186,0.6060720907960098,0.5043720092663939,0.5618579789729036]"
C009_R004,8,0.7,63,27,Raw-GAT,0.13640284830558497,3.3788201589910205,0.07362677512333095,0.0012759163822907902,0.48514001489841097,0,"[0.44479349725086276,0.5176027938774457,0.5109414932598126,0.5458553912102393,0.4103248050635431,0.22322407839055228,0.5691439249971576,0.48463153025176287,0.4689116263350782,0.5552088333609205]"
C009_R004,8,0.7,63,27,GlobalMean,0.12095653943936463,2.849904486815878,0.06421689128964181,0.0013539050966087849,0.48514001489841097,0,"[0.44479349725086276,0.5176027938774457,0.5109414932598126,0.5458553912102393,0.4103248050635431,0.22322407839055228,0.5691439249971576,0.48463153025176287,0.4689116263350782,0.5552088333609205]"
C009_R004,8,0.7,63,27,NodeMean,0.14533748860957318,3.3855206718948017,0.08221672305015186,0.0011349494486023795,0.48514001489841097,0,"[0.44479349725086276,0.5176027938774457,0.5109414932598126,0.5458553912102393,0.4103248050635431,0.22322407839055228,0.5691439249971576,0.48463153025176287,0.4689116263350782,0.5552088333609205]"
C009_R004,8,0.7,63,27,ASGC,0.13640284830558497,2.647457576512777,0.05933727774468961,0.0008866514977760436,0.48514001489841097,0,"[0.44479349725086276,0.5176027938774457,0.5109414932598126,0.5458553912102393,0.4103248050635431,0.22322407839055228,0.5691439249971576,0.48463153025176287,0.4689116263350782,0.5552088333609205]"
C010_R002,9,0.7,63,27,Raw-GAT,0.14256780164094374,3.2264622009338297,0.06830326360941932,0.0032191348321275143,0.5333980423912259,0,"[0.7238351471747366,0.39463483205267563,0.49939181602921634,0.5752638446878694,0.6683973242115441,0.45962728539622244,0.5647705394315324,0.3248092244354119,0.4538367305445617,0.6140727361261678]"
C010_R002,9,0.7,63,27,GlobalMean,0.1467293911283984,3.083505457027405,0.06475649340403233,0.003584427955126845,0.5333980423912259,0,"[0.7238351471747366,0.39463483205267563,0.49939181602921634,0.5752638446878694,0.6683973242115441,0.45962728539622244,0.5647705394315324,0.3248092244354119,0.4538367305445617,0.6140727361261678]"
C010_R002,9,0.7,63,27,NodeMean,0.16053509679549996,3.206628501801625,0.06703141637296886,0.00577531992833587,0.5333980423912259,0,"[0.7238351471747366,0.39463483205267563,0.49939181602921634,0.5752638446878694,0.6683973242115441,0.45962728539622244,0.5647705394315324,0.3248092244354119,0.4538367305445617,0.6140727361261678]"
C010_R002,9,0.7,63,27,ASGC,0.14256780164094374,3.045693761779877,0.06356384050132671,0.004064951993581767,0.5333980423912259,0,"[0.7238351471747366,0.39463483205267563,0.49939181602921634,0.5752638446878694,0.6683973242115441,0.45962728539622244,0.5647705394315324,0.3248092244354119,0.4538367305445617,0.6140727361261678]"
C011_R004,10,0.4,36,54,Raw-GAT,0.1459885254248304,2.6477818695130395,0.05345138358893224,0.002128056501955912,0.5444904202230753,0,"[0.4731010705000055,0.5812923562375578,0.6564232055740523,0.44572538787913174,0.5724362494262227,0.40557179886125705,0.7052072980367282,0.7259273742374724,0.44627200390020666,0.5431933670025442]"
C011_R004,10,0.4,36,54,GlobalMean,0.1469289730440148,2.6142027846366656,0.054894221439639734,0.0017350942864674402,0.5444904202230753,0,"[0.4731010705000055,0.5812923562375578,0.6564232055740523,0.44572538787913174,0.5724362494262227,0.40557179886125705,0.7052072980367282,0.7259273742374724,0.44627200390020666,0.5431933670025442]"
C011_R004,10,0.4,36,54,NodeMean,0.1491700891459946,3.2603604030793187,0.06064027157037909,0.000998254485260042,0.5444904202230753,0,"[0.4731010705000055,0.5812923562375578,0.6564232055740523,0.44572538787913174,0.5724362494262227,0.40557179886125705,0.7052072980367282,0.7259273742374724,0.44627200390020666,0.5431933670025442]"
C011_R004,10,0.4,36,54,ASGC,0.1459885254248304,1.693329863714379,0.032993384248861765,0.001041638925066462,0.5444904202230753,0,"[0.4731010705000055,0.5812923562375578,0.6564232055740523,0.44572538787913174,0.5724362494262227,0.40557179886125705,0.7052072980367282,0.7259273742374724,0.44627200390020666,0.5431933670025442]"
C012_R002,11,0.4,36,54,Raw-GAT,0.13293674671685232,5.340311331187599,0.14088123938033525,0.004616830856326214,0.4324639811694355,0,"[0.5337612423888108,0.48749238175656057,0.709309643759268,0.30687963072423885,0.5977432982347051,0.4528390266267644,0.3740683068582948,0.32843989345054,0.22193264823555425,0.47895902831851417]"
C012_R002,11,0.4,36,54,GlobalMean,0.14230799458574722,5.319187627659045,0.13927391145019974,0.011606856484742393,0.4324639811694355,0,"[0.5337612423888108,0.48749238175656057,0.709309643759268,0.30687963072423885,0.5977432982347051,0.4528390266267644,0.3740683068582948,0.32843989345054,0.22193264823555425,0.47895902831851417]"
C012_R002,11,0.4,36,54,NodeMean,0.13559921499871977,5.537952026030555,0.12873211019639091,0.008729187576070737,0.4324639811694355,0,"[0.5337612423888108,0.48749238175656057,0.709309643759268,0.30687963072423885,0.5977432982347051,0.4528390266267644,0.3740683068582948,0.32843989345054,0.22193264823555425,0.47895902831851417]"
C012_R002,11,0.4,36,54,ASGC,0.13293674671685232,3.850834354858575,0.09098738940880348,0.004076180386963001,0.4324639811694355,0,"[0.5337612423888108,0.48749238175656057,0.709309643759268,0.30687963072423885,0.5977432982347051,0.4528390266267644,0.3740683068582948,0.32843989345054,0.22193264823555425,0.47895902831851417]"
C013_R001,12,0.4,36,54,Raw-GAT,0.1605458383030221,5.282050294082259,0.13970606721230566,0.02203431684302079,0.4098205946492163,0,"[0.498796131059642,0.43147696914302985,0.48992902305394587,0.47567185694891556,0.320686176839957,0.44987613901633466,0.249898983552003,0.37014041691162924,0.39783744034848123,0.425676438102301]"
C013_R001,12,0.4,36,54,GlobalMean,0.15753882740058145,4.920099406363864,0.1299246972374261,0.016326456690008748,0.4098205946492163,0,"[0.498796131059642,0.43147696914302985,0.48992902305394587,0.47567185694891556,0.320686176839957,0.44987613901633466,0.249898983552003,0.37014041691162924,0.39783744034848123,0.425676438102301]"
C013_R001,12,0.4,36,54,NodeMean,0.1736824287611459,4.960550674921159,0.1346616466929284,0.02421242150057555,0.4098205946492163,0,"[0.498796131059642,0.43147696914302985,0.48992902305394587,0.47567185694891556,0.320686176839957,0.44987613901633466,0.249898983552003,0.37014041691162924,0.39783744034848123,0.425676438102301]"
C013_R001,12,0.4,36,54,ASGC,0.1605458383030221,5.117529571078139,0.13547111441821202,0.021047779041481585,0.4098205946492163,0,"[0.498796131059642,0.43147696914302985,0.48992902305394587,0.47567185694891556,0.320686176839957,0.44987613901633466,0.249898983552003,0.37014041691162924,0.39783744034848123,0.425676438102301]"
C014_R003,13,0.4,36,54,Raw-GAT,0.15588350857798508,3.2400066906827925,0.0762054159589269,0.003240179122057847,0.47630567083137443,0,"[0.5712950038024968,0.2809485059366841,0.2441355453974141,0.46695902307034404,0.4385791804357086,0.5689070056140713,0.4852288792316653,0.5160137998233463,0.4167845343226827,0.6045343423623093]"
C014_R003,13,0.4,36,54,GlobalMean,0.1574134945472014,3.4699451048555874,0.07792673648105815,0.0038613864905553837,0.47630567083137443,0,"[0.5712950038024968,0.2809485059366841,0.2441355453974141,0.46695902307034404,0.4385791804357086,0.5689070056140713,0.4852288792316653,0.5160137998233463,0.4167845343226827,0.6045343423623093]"
