scenario_id,assessment_seed,graph_truth_seed,observation_mask_seed
C001_R005,2729399116,1265752014,643960563
C002_R004,3880543845,2484702923,3547255848
C003_R003,1517937770,3254696556,2334292776
C004_R004,3186999729,3992368421,4129659157
C005_R004,1583737236,796327288,15654992
C006_R003,357876643,200288593,2510743628
C007_R001,2343291955,16240532,4108271860
C008_R002,3178460065,3640100631,3538569437
C009_R004,1353989752,4285843469,669782318
C010_R002,2688783336,2271758940,4263756445
C011_R004,1649071636,1672338744,1840851441
C012_R002,4113257056,2988722106,3904139970
C013_R001,654092670,657012672,3981090387
C014_R003,69562332,3804049367,1889159260
C015_R001,2941479769,1795507179,452196731
C016_R002,737675523,3811694973,712775754
C017_R004,3555828111,1401891709,3056205730
C018_R002,1950960931,4019322891,3955185523
C019_R001,4239416049,713943921,1750077980
C020_R001,3323300820,2527911077,3894699605
